gai	gai,gãi,gài,gại,gái
cuong-dieu	cường điệu
gat-gao	gắt gao
an-kiem	ấn kiếm
don-bao	đơn bào
tham-lau	thẩm lậu
khau-do	khẩu độ
don-bac	đơn bạc
to-giac	tố giác
huy-bo	hủy bỏ
tieng-tam	tiếng tăm
bau-sao	bầu sao
rac-tai	rác tai
hau-ha	hầu hạ
ngu-dot	ngu dốt
im-im	im ỉm
ngoai-dong	ngoại động
khoi-pho	khối phố
chan-li	chân lí
lep-xep	lẹp xẹp
ai-cha	ái chà
duong-cheo	đường chéo
thoi-han	thời hạn
chau-troi	chầu trời
tin-hieu	tín hiệu
ngu-don	ngu độn
vi-song	vi sóng
cuc-hoa	cúc hoa
ban-may	bàn máy
duong-sa	đường sá
dan-vat	dằn vặt
bieu-do	biểu đồ
an-uc	ẩn ức
thuc-ep	thúc ép
gia-suc	gia súc
cu-khoi	cừ khôi
ban-mau	bản mẫu
ban-mat	bản mặt
hoa-bao	họa báo
ban-mai	ban mai
bang-dan	băng đạn
chan-that	chân thật
nhua-mu	nhựa mủ
nang-cap	nâng cấp
duong-su	đương sự
ngu-si	ngu si
tung-xeo	tùng xẻo
duoc-gia	được giá
dan-van	dân vận
gam-rit	gầm rít
thu-ven	thu vén
thoa-dang	thỏa đáng
sa-mac	sa mạc
tu-lenh	tư lệnh
thuan-loi	thuận lợi
sung-sia	sưng sỉa
cu-meo	cú mèo
xay-xat	xay xát
cu-mem	cũ mèm
rung-reng	rủng rẻng
cho-coc	chợ cóc
hoa-van	hoa văn
sua-sai	sửa sai
cheo-chong	chèo chống
tong-mieu	tông miếu
duyen-phan	duyên phận
giuong-nam	giường nằm
giat-giong	giật giọng
tray-trua	trầy trụa
long-dinh	long đình
tinh-lo	tỉnh lộ
giai-thuat	giải thuật
khac-kho	khắc khổ
xung-phong	xung phong
chi-giao	chỉ giáo
bau-giac	bầu giác
ngay-rau	ngay râu
sinh-nhat	sinh nhật
khac-khe	khặc khè
binh-lua	binh lửa
thong-qua	thông qua
phan-xanh	phân xanh
lat-leo	lạt lẽo,lắt léo,lắt lẻo
phai-sinh	phái sinh
thu-bac	thứ bậc
thuan-phuc	thuần phục
ban-cuoc	bàn cuốc
chu-de	chủ đề
linh-muc	linh mục
sinh-nhai	sinh nhai
thue-ma	thuế má
phuc-co	phục cổ
cay-thao	cây thảo
tuan-tieu	tuần tiễu
rut-ruot	rút ruột,rứt ruột
troi-sut	trồi sụt
qui-lat	qui lát
cong-lap	công lập
khoai-khoai	khoai khoái
tro-minh	trở mình
thay-phap	thầy pháp
quay-quat	quay quắt
no-mau	nợ máu
cong-lao	công lao
giam-chan	giảm chấn
xet-hoi	xét hỏi
ba-que	ba que
thuc-quyen	thực quyền
hoa-ke	hỏa kế
quay-quay	quầy quậy
tien-boi	tiền bối
thong-thuot	thõng thượt
nuc-tieng	nức tiếng
quan-the	quần thể
hoang-loan	hoảng loạn
bon-mot	bòn mót
ngap-lut	ngập lụt
cheo-cuoi	cheo cưới
xa-don	xà đơn
chieu-manh	chiếu manh
nhan-manh	nhấn mạnh
tuyet-suong	tuyết sương
thong-thuoc	thông thuộc
cu-van	cứu vãn,cửu vạn
dai-nguyen	đài nguyên
thinh-thi	thỉnh thị
chan-lu	chấn lưu
chuot-lang	chuột lang
cong-huong	cộng hưởng
trai-tim	trái tim
nhan-mang	nhân mạng
bo-tuong	bộ tướng
cum-tu	cụm từ
qui-chuan	qui chuẩn
sang-nhuong	sang nhượng
go-ep	gò ép
cuong-loan	cuồng loạn
go-loi	gỡ lỗi
tram-minh	trầm mình
thi-co	thì có
ranh-ma	ranh ma
danh-guc	đánh gục
hoi-suat	hối suất
hau-khap	hầu khắp
an-nam	ăn nằm
son-so	sởn sơ
my-cam	mỹ cảm
qua-vay	quả vậy
thao-lui	tháo lui
bai-nhiem	bãi nhiệm
tu-tap	tụ tập
lom-nhom	lổm nhổm
manh-nha	manh nha
quanh-quat	quanh quất
lan-tham	làn thảm
lan-than	lần thần,lẩn thẩn
tu-nhan	tù nhân,tư nhân
hong-hach	hống hách
chu-chuyen	chu chuyển
xong-dat	xông đất
thao-than	tháo thân
phien-hieu	phiên hiệu
dinh-thuyen	đinh thuyền
gia-khom	già khọm
am-ke	ẩm kế
dong-dieu	đồng điếu,đồng điệu
ngap-ung	ngập úng
tu-dien	tụ điện,tứ diện,từ điển,tự điền
luc-duc	lục đục
che-bang	chè bạng
yen-tri	yên trí
long-dao	lòng đào
ke-hoach	kế hoạch
tong-do	tông đơ,tông đồ
dai-truyen	đai truyền
chieu-phim	chiếu phim
tap-giao	tạp giao
co-chan	cổ chân
hoi-dien	hội diễn
cho-vo	chơ vơ
chinh-quoc	chính quốc
thi-la	thì là
phi-le	phi lê
dien-cam	diễn cảm
diem-cao	điểm cao
ruoi-ruoi	rười rượi
gan-cot	gân cốt
chim-sau	chim sâu
co-chay	cổ chày
cut-hung	cụt hứng
hat-bo	hát bộ
ngoai-ra	ngoài ra
cut-sat	cứt sắt
ruou-de	rượu đế
nhu-nhu	nhu nhú,như nhứ
khanh-tiet	khánh tiết
nhat-bao	nhật báo
son-son	sòn sòn,sồn sồn
buon-ba	buồn bã,bươn bả
chup-giat	chụp giật
be-lu	bè lũ
chan-hau	chặn hậu
thieu-uy	thiếu úy
sai-lam	sai lầm
gay-chien	gây chiến
son-sot	sôn sốt,sồn sột
tieu-cu	tiêu cự
bem-mep	bẻm mép
biet-xu	biệt xứ
khi-thai	khí thải
ngoi-xom	ngồi xổm
moc-may	móc máy
qua-giac	quá giấc
ho-toc	họ tộc
chung-qui	chung qui
luot-di	lượt đi
khau-chien	khẩu chiến
ngang-tai	ngang tai
tam-chi	tạm chi
ne-nang	nể nang
chung-qua	chứng quả
con-co	con cò,cơn cớ,Cồn Cỏ
vo-sinh	vô sinh,võ sinh
nhan-nheo	nhăn nheo
nhay-mat	nháy mắt
chung-quy	chung quy
la-nha	lạ nhà
dia-phan	địa phận
tuong-vong	tưởng vọng
oi-ngot	oi ngột
con-ca	con cả
dong-danh	đỏng đảnh
loan-xa	loạn xạ
dai-gia	đại gia
thuong-binh	thương binh
ham-cap	hàm cấp
tru-cot	trụ cột
chi-khu	chi khu
loan-xi	loạn xị
co-tu	cổ tự
de-quai	đê quai
hu-tim	hú tim
kho-nhoc	khó nhọc
quanh-co	quanh co
nhan-to	nhân tố
ca-bin	ca bin
dao-luat	đạo luật
chi-khi	chí khí
gia-tang	gia tăng,giả tảng
hoa-diem	hỏa điểm
sieu-nhan	siêu nhân
han-khau	hàn khẩu
quanh-quan	quanh quẩn
ke-sach	kế sách
ta-thuat	tà thuật
dong-co	đồng cô,đồng cỏ,động cơ
ho-hung	hờ hững
kinh-nien	kinh niên
bau-vat	báu vật
trang-ky	tràng kỷ
hoi-cho	hội chợ
tieu-hung	tiểu hùng
chinh-thong	chính thống
may-gat	máy gặt
dac-biet	đặc biệt
cam-thong	cảm thông
giang-giang	giàng giàng,giăng giăng
mu-do	mưu đồ
dum-boc	đùm bọc
thong-luong	thông lượng
tin-vit	tin vịt
ke-xac	kệ xác
be-duoi	bề dưới
trang-ki	tràng kỉ
lam-hoc	lâm học
nen-long	nén lòng
thang-the	thắng thế
tham-do	thăm dò,thảm đỏ
nho-be	nhỏ bé
dau-dieng	đau điếng
than-chet	thần chết
hoi-chan	hội chẩn
hieu-ky	hiếu kỳ
goi-xep	gối xếp
ten-lua	tên lửa
phe-chuan	phê chuẩn
chop-mat	chớp mắt
nuoc-thanh	nước thánh
doi-moi	đồi mồi,đổi mới,đời mới
no-nan	nợ nần
phu-phe	phủ phê
lenh-khenh	lênh khênh
hieu-ki	hiếu kì
phu-phi	phụ phí
phan-cong	phân công,phản công
sot-ret	sốt rét
vi-pham	vi phạm
vi-phan	vi phân
tham-du	tham dự
mai-hat	mái hắt
thuoc-ta	thuốc ta,thước ta
cau-nhau	càu nhàu
phan-len	phân lèn
chu-lai	chứ lại
vuon-uom	vườn ươm
mot-ruong	mọt ruỗng
lon-nheo	lộn nhèo
sa-doa	sa đọa
cau-nhac	câu nhạc
tuoi-roi	tươi rói
tru-bi	trù bị,trừ bì,trừ bị
xe-ngua	xe ngựa
don-mat	đốn mạt
ki-gui	kí gửi
the-gian	thế gian
tap-huan	tập huấn
goi-dau	gối đầu
tham-giao	thâm giao
xac-dinh	xác định
mau-quyen	mẫu quyền
au-tho	ấu thơ
duoc-viec	được việc
com-bui	cơm bụi
toan-bich	toàn bích
khoai-khau	khoái khẩu
chung-benh	chứng bệnh
so-mi	sơ mi
dai-ngheu	dài nghêu
hien-thi	hiển thị
com-bua	cơm bữa
bin-rin	bịn rịn
buot-mieng	buột miệng
vang-doi	vang dội
muon-ngan	muôn ngàn
quan-khu	quân khu
moc-ham	móc hàm
phong-xa	phòng xa,phóng xạ
duenh-doang	đuểnh đoảng
dan-canh	dàn cảnh
bo-mach	bo mạch
mu-mo	mưu mô
kieu-cang	kiêu căng
phat-no	phát nổ
khoa-giao	khoa giáo
go-gac	gỡ gạc
doi-ngu	đội ngũ
som-som	sơm sớm
cuc-cung	cúc cung
chuoi-su	chuối sứ
thuoc-men	thuốc men
hen-nhat	hèn nhát
tu-tuat	tử tuất
tinh-nghich	tinh nghịch
to-diem	tô điểm
tu-sat	tự sát
ban-si	bán sỉ
kien-cao	kiện cáo
tron-vo	tròn vo
mat-na	mặt nạ
thien-ki	thiên kỉ
chi-chiet	chì chiết
dien-moi	điện môi
ca-gay	cá gáy
di-chung	di chứng
gia-lang	già làng
khich-bac	khích bác
gia-lanh	giá lạnh
dut-diem	dứt điểm
dia-tinh	địa tĩnh
tao-mo	tảo mộ
huyen-thi	huyện thị
sac-gach	sặc gạch
ca-gan	cả gan
ca-gai	cà gai
con-dau	con dấu
khoi-dau	khởi đầu
dieu-tan	điêu tàn
bat-non	bắt nọn
xung-xung	xưng xưng
bot-bat	bợt bạt
hoai-cua	hoài của
tam-tam	tàm tạm,tầm tầm
ngan-vang	ngân vang
doi-ngheo	đói nghèo
tam-tai	tam tài
gioi-luat	giới luật
phu-giang	phụ giảng
toi-tap	tới tấp
tam-tau	tam tấu
toi-tan	tối tân,tồi tàn
toi-tam	tối tăm
sut-seo	sứt sẹo
tam-tap	tăm tắp,tắm táp
hat-khach	hát khách
ca-nuc	cá nục
xe-lan	xe lăn
tranh-truyen	tranh truyện
tang-nac	tầng nấc
mung-tuoi	mừng tuổi
xinh-xan	xinh xắn
hum-hup	hum húp
dong-chay	dòng chảy
trong-tro	trống trơ
kha-quan	khả quan
xa-go	xà gồ
trung-cuoc	trứng cuốc
nhong-nheo	nhõng nhẽo
dong-chat	đồng chất
hien-truong	hiện trường
trieu-dai	triều đại
uy-tri	ủy trị
chuoi-cau	chuối cau
bia-lon	bia lon
phai-long	phải lòng
cat-pha	cát pha
lay-le	lấy lệ
muop-huong	mướp hương
tru-bo	trừ bỏ
nin-thinh	nín thinh
lu-dan	lựu đạn
chop-nhoang	chớp nhoáng
do-quyen	đỗ quyên
mon-vet	mòn vẹt
buon-rau	buồn rầu
so-phuc	số phức
phap-phoi	phấp phới
giay-dinh	giày đinh
chan-thuong	chấn thương
triet-hoc	triết học
den-thui	đen thui
phong-the	phòng the
lieu-xieu	liêu xiêu
tot-bac	tột bậc
con-mot	con một
bong-be	bồng bế
khung-khuc	khùng khục
bong-bi	bóng bì
dien-nghiem	điện nghiệm
cao-trao	cao trào
bech-bac	bệch bạc
xo-cua	xơ cua
huyen-tich	huyền tích
vuong-viu	vương víu,vướng víu
cuoi-pha	cười phá
vong-ngoai	vọng ngoại
con-mon	con mọn
nhang-nhao	nhâng nháo
ech-ba	ếch bà
hoa-thuong	hòa thượng
thien-cam	thiện cảm
vat-vo	vật vờ
trung-cap	trung cấp
tho-de	thỏ đế
chu-cong	chủ công
doan-ngo	đoan ngọ
uy-danh	uy danh
mau-da	màu da
danh-lua	đánh lừa
ung-khau	ứng khẩu
doan-ngu	đoản ngữ
phe-nang	phế nang
ngu-coc	ngũ cốc
cach-quang	cách quãng
xuat-toan	xuất toán
banh-it	bánh ít
hoa-tien	hoa tiên
tay-rua	tẩy rửa
nen-mong	nền móng
co-hau	có hậu
hien-nay	hiện nay
nguong-mom	ngượng mồm
lanh-mat	lánh mặt
ma-mut	ma mút
sieu-thit	siêu thịt
co-han	có hạn,cơ hàn
so-suat	sơ suất
banh-in	bánh in
doan-trinh	đoản trình
tieu-tho	tiêu thổ
hoa-tieu	hoa tiêu
hoa-tiet	họa tiết
tien-dung	tiện dụng
ngam-tam	ngậm tăm
khong-trach	không trách
bao-ngu	bào ngư
dia-ban	địa bàn
nut-ne	nứt nẻ
ca-hanh	cá hanh
chi-dao	chỉ đạo
chi-dan	chỉ dẫn
mit-dac	mít đặc
boc-hau	bọc hậu
nho-noi	nhọ nồi
vang-ma	vàng mã
cua-mieng	cửa miệng
cam-phien	cảm phiền
giai-cap	giai cấp
cuoc-van	cước vận
troi-trong	trời trồng
tich-su	tích sự
cau-truong	cầu trường
huc-hac	hục hặc
ma-vach	mã vạch
dai-thao	đái tháo
mien-trach	miễn trách
loi-dung	lợi dụng
cam-uat	căm uất
hoat-bat	hoạt bát
sinh-de	sinh đẻ
cot-khi	cốt khí
mit-dai	mít dai
dai-rut	dải rút
hau-phuong	hậu phương
sen-dam	sen đầm
chieu-nghi	chiếu nghỉ
than-thong	thần thông
bon-tam	bồn tắm
bac-dai	bạc đãi
that-bai	thất bại
khinh-khi	khinh khi
vit-co	vịt cỏ
buom-buom	bươm bướm
bien-loan	biến loạn
gan-ghep	gán ghép
chot-bot	chót bót
chao-long	cháo lòng
duong-chuc	đương chức
tan-te	tàn tệ
toc-ky	tốc ký
ca-ong	cá ông
bac-dau	bắc đẩu,bạc đầu
truc-tung	trục tung
ngo-ngang	ngó ngàng,ngỡ ngàng
tam-li	tâm lí
kiem-toa	kiềm tỏa
vo-long	vỡ lòng
quau-quo	quạu quọ
buon-lang	buôn làng
kiet-xac	kiết xác
me-tin	mê tín
hen-ho	hẹn hò
rut-rat	rút rát
me-tit	mê tít
kham-nghiem	khám nghiệm
dai-su	đại sứ,đại sự
ngoan-dao	ngoan đạo
nuoc-lo	nước lợ
tin-dieu	tín điều
rong-do	rông đô
nam-ai	nam ai
danh-dong	đánh đồng,đánh động
nho-yeu	nhỏ yếu
san-lap	san lấp
xuong-cut	xương cụt
toa-soan	tòa soạn
choi-re	chổi rễ
truy-tang	truy tặng
ban-thao	bàn thảo,bán tháo,bản thảo
lam-vi	làm vì
su-tam	sưu tầm
ba-quyen	bá quyền
chan-tha	chăn thả
khan-dac	khản đặc
su-tap	sưu tập
co-phong	cô phòng,cổ phong
dinh-vi	định vị
khan-dai	khán đài
trai-gai	trai gái
chon-loc	chọn lọc
gia-su	gia sư,giả sử
di-song	đi sông
dai-uy	đại úy
may-khi	mấy khi
song-ngam	sóng ngầm
trang-phech	trắng phếch
nga-nuoc	ngã nước
ke-ne	ké né,kệ nệ
hai-quan	hải quan,hải quân
treo-co	treo cổ
be-dang	bè đảng
co-nghiep	cơ nghiệp
noi-gay	nói gay
lap-xuan	lập xuân
nhap-nhanh	nhấp nhánh
quyet-sach	quyết sách
truy-van	truy vấn
dinh-tri	định trị
nguc-tu	ngục tù
co-vay	cờ vây
day-hoc	dạy học
mang-tai	mang tai
dong-duc	đông đúc,động dục,động đực
ngao-ngat	ngào ngạt
chi-than	chì than,chí thân
tra-mieng	trả miếng
bach-diep	bách diệp
kinh-te	kinh tế
lieu-minh	liều mình
sua-chua	sửa chữa,sữa chua
nho-nhe	nhỏ nhẹ,nhỏ nhẻ
giao-du	giao du
phong-mach	phòng mạch
thoai-trao	thoái trào
chet-tuoi	chết tươi
mau-dich	mậu dịch
ngoai-cong	ngoại công
cha-chot	chả chớt
khuyen-ran	khuyên răn
doi-dien	đối diện
qui-hoa	quí hóa
tron-goi	trọn gói
moi-day	mới đây
go-van	gỗ ván
len-men	lên men
ly-tinh	lý tính
chu-quan	chủ quan,chủ quản
ban-manh	bàn mảnh
quoc-thieu	quốc thiều
loai-biet	loại biệt
lop-dop	lộp độp
lan-queo	lăn queo
chim-noi	chìm nổi
that-luat	thất luật
cau-lan	cầu lăn
chap-toi	chập tối
mem-lun	mềm lũn
nhuong-loi	nhường lời
tai-xe	tài xế
tuon-tuot	tuồn tuột
dai-bang	đại bàng
dong-hao	đồng hao
khan-cau	khẩn cầu
thinh-suy	thịnh suy
nghiem-so	nghiệm số
lam-toi	làm tội,làm tới
bang-quang	bàng quang
gui-gam	gửi gắm
mo-toang	mở toang
hat-nhan	hạt nhân
dien-phan	điện phân
tong-nha	tổng nha
tien-quan	tiến quân,tiền quân
loi-lam	lỗi lầm
may-muoi	mấy mươi
gia-cho	giá chợ
mu-tat	mù tạt
bom-tan	bom tấn
cao-nhong	cao nhòng
phong-tran	phong trần
phong-trao	phong trào
qua-can	quả cân
qua-cam	quả cảm
tho-moc	thô mộc,thợ mộc
dan-toc	dân tộc
ve-tinh	vệ tinh
hoi-am	hồi âm
giay-bong	giấy bóng
ban-linh	bản lĩnh
ba-dau	ba đậu
phan-ve	phản vệ
khach-sao	khách sáo
khach-san	khách sạn
khai-quang	khai quang
cheo-go	chéo go
yen-nghi	yên nghỉ
khai-thac	khai thác
quat-dien	quạt điện
dan-chung	dân chúng,dẫn chứng
an-tang	an táng
mat-tien	mặt tiền
thu-the	thủ thế
dieu-voi	diệu vợi
nuoc-cung	nước cứng
ki-dieu	kì diệu
sa-say	sa sẩy
loan-thi	loạn thị
vui-ve	vui vẻ
chau-chau	châu chấu
bo-hep	bó hẹp
lai-suat	lãi suất
con-hoang	con hoang
lam-phat	lạm phát
tien-tieu	tiền tiêu
thay-ma	thây ma
buon-ruoi	buồn rượi
nhan-nuoc	nhãn nước
nang-nhoc	nặng nhọc
hu-nghi	hữu nghị
sa-sam	sa sâm,sa sầm
nguon-goc	nguồn gốc
banh-xeo	bánh xèo
lu-khong	lưu không
kien-giang	kiến giảng,Kiên Giang
the-ki	thế kỉ
chinh-luan	chính luận
so-nguyen	số nguyên,sở nguyện
lai-lo	lãi lờ
lanh-tho	lãnh thổ
bau-doan	bầu đoàn
tai-ngoai	tại ngoại
noi-suong	nói suông
nhiet-nang	nhiệt năng
map-map	mập mạp
trong-lanh	trong lành
suy-bi	suy bì
quoc-lap	quốc lập
phong-dien	phóng điện
mung-ron	mừng rơn
chat-diem	chất điểm
phien-phuc	phiền phức
vuong-gia	vương giả
quan-dan	quân dân
an-choi	ăn chơi
mui-me	mùi mẽ
ung-luc	ứng lực
hy-hu	hy hữu
chinh-cuong	chính cương
ngoai-luong	ngoài luồng
toi-mang	toi mạng
goi-vu	gối vụ
rinh-mo	rình mò
ruot-tuong	ruột tượng
kich-chien	kịch chiến
phan-dien	phản diện
trong-nguc	trống ngực
tiep-tuc	tiếp tục
trinh-do	trình độ
ngu-dong	ngủ đông
duong-mau	đường máu
canh-sat	cảnh sát
hiep-dap	hiếp đáp
cha-anh	cha anh
quan-coc	quán cóc
rai-rac	rải rác
banh-chung	bánh chưng
bao-anh	báo ảnh
bun-non	bùn non
dao-cung	đao cung
phao-hoa	pháo hoa
hong-que	hồng quế
canh-sac	cảnh sắc
nhu-ai	như ai
khong-lu	không lưu
bieu-bi	biểu bì
bong-toi	bóng tối
nha-dat	nhà đất
ngoi-vi	ngôi vị
tan-tung	tán tụng
hiep-dam	hiếp dâm
huong-su	hương sư
dan-diu	dan díu
nghi-duong	nghỉ dưỡng
buong-thong	buông thõng
tu-nguyen	từ nguyên,tự nguyện
ro-ro	ro ro
phuc-loi	phúc lợi
phuc-linh	phục linh
noi-doi	nói dối,nối dõi
khuc-mac	khúc mắc
thu-ly	thụ lý
uc-hiep	ức hiếp
giay-do	giấy dó
lom-lom	lom lom,lờm lợm
bac-pho	bạc phơ
thiet-mang	thiệt mạng
danh-duong	đánh đường
thon-bon	thờn bơn
nong-ruc	nóng rực
ghe-cua	ghe cửa
sang-giau	sang giàu
ty-trong	tỷ trọng
ly-lich	lý lịch
cap-bach	cấp bách
len-dong	lên đồng
am-anh	ám ảnh
than-trang	than trắng
loi-long	lôi long,lơi lỏng
lap-nghiem	lập nghiêm
bien-li	biện lí
giong-noi	giống nòi
tam-tac	tấm tắc
phien-la	phiến lá
lap-nghiep	lập nghiệp
loi-dinh	lôi đình
ngang-trai	ngang trái
tuan-loc	tuần lộc
tac-quai	tác quái
phong-kien	phong kiến
am-dau	ấm đầu
quy-dinh	quy định
ty-vi	tỳ vị
bien-ly	biện lý
dau-vao	đầu vào
sao-tam	sao tẩm
vi-tinh	vi tính
ngot-lim	ngọt lịm
thuoc-day	thước dây
ra-bo	ra bộ
mu-mit	mù mịt
lang-yen	lặng yên
tiep-pham	tiếp phẩm
tong-ta	tong tả
chien-hu	chiến hữu
than-tuong	thần tượng
bo-gia	bố già
ngay-ngan	ngay ngắn
vinh-quang	vinh quang
cong-du	công du
ngay-kia	ngày kia,ngày kìa
chan-bun	chắn bùn
tinh-tai	tĩnh tại
vo-van	vô vàn,vơ vẩn,vớ vẩn
bo-quyt	bọ quýt
chan-vac	chân vạc
tinh-tam	tĩnh tâm
chan-van	chán vạn
sieng-nang	siêng năng
khau-trang	khẩu trang
son-roi	son rỗi
vo-vac	vỡ vạc
lu-mo	lu mờ
bieu-dat	biểu đạt
bi-so	bí số
toan-phan	toàn phần
bi-si	bì sị,bị sị
bong-mat	bóng mát
thuan-tuy	thuần túy
nien-vu	niên vụ
vo-vap	vồ vập
tinh-tau	tính tẩu
bi-dong	bi đông,bị động
nha-dong	nhà dòng
than-tri	thần trí
hoanh-hoe	hoạnh họe
qui-dinh	qui định
len-da	len dạ
khit-khao	khít khao
hu-bai	hủ bại
ca-cuong	cà cuống,cà cưỡng
nhan-ha	nhàn hạ
thu-nhap	thu nhập
hoat-thach	hoạt thạch
long-lon	lồng lộn
co-kho	cơ khổ
phu-thuoc	phụ thuộc
cu-roi	cứu rỗi
tiet-giam	tiết giảm
ua-nhin	ưa nhìn
bo-trat	bó trát
binh-xit	bình xịt
nhan-pham	nhân phẩm
giam-cai	giấm cái
dich-xac	đích xác
gio-nom	gió nồm
mo-tuong	mơ tưởng
dinh-kien	định kiến
gianh-giat	giành giật
viet-da	việt dã
yeu-chieu	yêu chiều
tam-quan	tam quan
kho-nhuc	khổ nhục
ca-coc	cá cóc
thau-tom	thâu tóm
quai-di	quái dị
ca-com	cá cơm
tieu-tuyet	tiểu tuyết
cu-the	cụ thể
nham-lan	nhầm lẫn
ngang-nguoc	ngang ngược
choi-treo	chơi trèo
long-tong	long tong
truong-doi	trường đời
quyen-cuoc	quyền cước
tham-mi	thẩm mĩ
chut-chit	chút chít
chan-ca	chắn cạ
quang-dan	quang dẫn
khot-khet	khọt khẹt
khon-noi	khốn nỗi
kho-than	khổ thân
thuy-tai	thủy tai
trong-nom	trông nom
diem-dua	diêm dúa
hat-de	hạt dẻ
lam-phien	làm phiền
inh-tai	inh tai
tan-dung	tận dụng
tuyen-vi	tuyến vị
lan-duong	làn đường
dong-nghiep	đồng nghiệp
lach-bach	lạch bạch
vat-vuong	vất vưởng
khoc-liet	khốc liệt
tuyen-xu	tuyên xử
tieu-ma	tiêu ma
lan-tranh	lẩn tránh
son-sac	sớn sác
mao-mach	mao mạch
xe-tai	xe tải
hop-quet	hộp quẹt
thong-tuc	thông tục
dia-quang	đĩa quang
lien-lien	liên liến,liền liền
xuat-trinh	xuất trình
tam-xuan	tầm xuân
khoi-suong	khói sương
chat-ran	chất rắn
mo-tay	mó tay
tu-loi	tư lợi
chet-chua	chết chưa,chết chửa
kieu-dang	kiểu dáng
trinh-dien	trình diễn,trình diện
xi-mang	xi măng
xoai-tuong	xoài tượng
trai-phep	trái phép
lo-do	lò dò,lổ đổ,lờ đờ,lỡ dở
thong-thuong	thông thương,thông thường
loang-ngoang	loằng ngoằng
chet-chum	chết chùm
cat-vo	cất vó
dau-phap	đấu pháp
ca-thia	cá thia
co-vu	cổ vũ
nong-cu	nông cụ
van-chuong	văn chương
me-nheo	mè nheo
xuc-xich	xúc xích
nuc-noi	nực nội
xenh-xoang	xềnh xoàng
mai-nhi	mái nhì
diec-lac	điếc lác
chac-da	chắc dạ
mat-mui	mắt mũi,mặt mũi
bo-ba	bỏ bà,bỗ bã
khi-ap	khí áp
cuong-quyen	cường quyền
duong-benh	dưỡng bệnh
bo-bo	bo bo,bô bô,bỏ bố,bồ bồ
tinh-su	tình sử
phu-nhan	phu nhân,phủ nhận
bao-cat	bão cát
thay-lay	thày lay,thây lẩy
chu-chua	chủ chứa
cuong-quyet	cương quyết
cuong-quyt	cuống quýt
bao-cao	báo cáo
chong-cho	chỏng chơ
au-la	âu là
chong-cha	chông chà
thoi-phong	thổi phồng
trang-hoa	trăng hoa
chong-che	chống chế
nho-nhuoc	nhơ nhuốc
thoai-lui	thoái lui
cao-oc	cao ốc
cay-ghep	cấy ghép
ga-pha	gà pha
chua-xot	chua xót
thoang-thoang	thoang thoảng
phong-thuy	phong thủy
chong-ngong	chồng ngồng
pha-luoi	phá lưới
cong-ra	cổng rả
voi-vang	vội vàng
rau-diep	rau diếp
phu-phang	phũ phàng
triet-tieu	triệt tiêu
di-lai	đi lại
ne-so	nể sợ
nin-lang	nín lặng
hanh-lang	hành lang
tru-eo	trù ẻo
trinh-lang	trình làng
roi-ren	rối ren
lo-loc	lô lốc
che-hot	chè hột
phap-danh	pháp danh
logic-toan	logic toán
kien-giai	kiến giải
lo-loi	lở lói,lỡ lời
kho-tinh	khó tính
song-soc	sòng sọc
lua-la	lụa là
che-hoe	chẻ hoe
thuoc-lao	thuốc lào
luat-tuc	luật tục
hai-phan	hải phận
chi-phi	chi phí
thinh-thoang	thỉnh thoảng
linh-mieu	linh miêu
tra-xet	tra xét
lanh-manh	lành mạnh
hai-van	hải văn,Hải Vân
ngam-ngam	ngâm ngẩm,ngăm ngăm,ngấm ngầm
bua-yeu	bùa yêu
gia-bien	giá biển
cho-soi	chó sói
ven-tron	vẹn tròn
dong-kinh	động kinh
vung-lom	vùng lõm
gia-biet	giã biệt
ngam-vuot	ngắm vuốt
cuong-linh	cương lĩnh
lanh-canh	lãnh canh
van-dap	vấn đáp
gao-nuoc	gạo nước
xoai-voi	xoài voi
tich-tu	tích tụ
chi-dinh	chỉ định
binh-luc	binh lực
dao-cu	đạo cụ
tai-va	tai vạ
khach-khua	khách khứa
phi-nho	phỉ nhổ
quan-tro	quán trọ
de-cao	đề cao
trao-long	trào lộng
thoai-mai	thoải mái
tuoi-doi	tuổi đời
lay-lam	lấy làm
duoc-tinh	dược tính
tri-thuy	trị thủy
lay-lan	lây lan
bon-lot	bón lót
bien-so	biến số
don-coi	đơn côi
nhu-dien	như điên
lay-lat	lay lắt,lây lất
lay-lay	lay láy
dau-sai	đầu sai
dau-sao	dẫu sao
nha-nhot	nhả nhớt
thay-dong	thầy dòng
cam-ve	cấm vệ
chuan-uy	chuẩn úy
ngoc-bich	ngọc bích
nghiem-tri	nghiêm trị
toi-cao	tối cao
cua-quyen	cửa quyền
dao-ham	đạo hàm
ghe-bo	ghế bố
chim-khach	chim khách
that-lung	thắt lưng
an-nup	ẩn núp
thong-dam	thông dâm
chuyen-huong	chuyển hướng
ngong-trong	ngóng trông
su-bac	sư bác
dua-nghich	đùa nghịch
thang-bang	thăng bằng,thẳng băng
hang-ngach	hạng ngạch
on-dich	ôn dịch
dan-dong	dẫn động
duc-ngau	đục ngầu
hanh-khat	hành khất
dung-chuyen	dựng chuyện
rau-thom	rau thơm
com-chien	cơm chiên
thuy-mi	thùy mị
but-hieu	bút hiệu
xien-xeo	xiên xẹo
hai-khau	hải khẩu
thien-ky	thiên kỷ
gian-kho	gian khó,gian khổ
buong-binh	bướng bỉnh
